"Obs","AREA","RS_EXIT","RISK","SE","CIL","CIU"
"106",1,12380.00,0.01988,0.009551,0.007752,0.05098
"107",1,12386.00,0.01999,0.009601,0.007796,0.05124
"108",1,12391.00,0.02010,0.009653,0.007842,0.05152
"109",1,12399.00,0.02021,0.009702,0.007887,0.05179
"110",1,12406.00,0.02032,0.009752,0.007931,0.05205
"111",1,12408.00,0.02042,0.009801,0.007974,0.05231
"112",1,12408.00,0.02053,0.009850,0.008017,0.05257
"113",1,12411.00,0.02063,0.009897,0.008060,0.05283
"114",1,12414.00,0.02074,0.009945,0.008102,0.05309
"115",1,12414.00,0.02084,0.009993,0.008145,0.05334
"116",1,12417.00,0.02095,0.010041,0.008187,0.05360
"117",1,12419.00,0.02105,0.010088,0.008230,0.05385
"118",1,12421.00,0.02116,0.010136,0.008272,0.05411
"119",1,12426.00,0.02126,0.010184,0.008315,0.05436
"120",1,12427.00,0.02137,0.010232,0.008357,0.05462
"121",1,12430.00,0.02147,0.010279,0.008399,0.05487
"122",1,12435.00,0.02157,0.010327,0.008442,0.05513
"123",1,12438.00,0.02168,0.010374,0.008484,0.05538
"124",1,12438.00,0.02178,0.010422,0.008527,0.05564
"125",1,12439.00,0.02189,0.010470,0.008569,0.05590
"126",1,12448.00,0.02199,0.010518,0.008612,0.05615
"127",1,12456.00,0.02209,0.010566,0.008654,0.05641
"128",1,12456.00,0.02220,0.010614,0.008697,0.05666
"129",1,12458.00,0.02230,0.010661,0.008739,0.05692
"130",1,12459.00,0.02241,0.010709,0.008782,0.05718
"131",1,12462.00,0.02251,0.010757,0.008824,0.05743
"132",1,12470.00,0.02262,0.010805,0.008867,0.05769
"133",1,12471.00,0.02272,0.010853,0.008909,0.05795
"134",1,12471.00,0.02283,0.010901,0.008952,0.05820
"135",1,12483.00,0.02293,0.010948,0.008994,0.05846
"136",1,12484.00,0.02303,0.010995,0.009035,0.05871
"137",1,12485.00,0.02313,0.011042,0.009077,0.05896
"138",1,12486.00,0.02324,0.011090,0.009119,0.05921
"139",1,12486.00,0.02334,0.011137,0.009161,0.05947
"140",1,12486.00,0.02344,0.011183,0.009202,0.05971
"141",1,12487.00,0.02354,0.011230,0.009244,0.05996
"142",1,12494.00,0.02365,0.011277,0.009286,0.06022
"143",1,12499.00,0.02375,0.011323,0.009327,0.06046
"144",1,12505.00,0.02385,0.011370,0.009368,0.06071
"145",1,12512.00,0.02395,0.011416,0.009409,0.06096
"146",1,12515.00,0.02405,0.011462,0.009450,0.06121
"147",1,12518.00,0.02415,0.011508,0.009491,0.06145
"148",1,12524.00,0.02425,0.011554,0.009532,0.06170
"149",1,12532.00,0.02435,0.011599,0.009572,0.06194
"150",1,12535.00,0.02445,0.011643,0.009611,0.06218
"151",1,12538.00,0.02454,0.011688,0.009650,0.06241
"152",1,12553.00,0.02463,0.011730,0.009688,0.06264
"153",1,12562.00,0.02473,0.011772,0.009725,0.06287
"154",1,12564.00,0.02482,0.011815,0.009763,0.06309
"155",1,12579.00,0.02491,0.011857,0.009801,0.06332
"156",1,12587.00,0.02500,0.011900,0.009838,0.06355
"157",1,12596.00,0.02510,0.011942,0.009876,0.06377
"158",1,12596.00,0.02519,0.011983,0.009913,0.06400
"159",1,12597.00,0.02528,0.012025,0.009950,0.06422
"160",1,12602.00,0.02537,0.012067,0.009988,0.06445
"161",1,12602.00,0.02546,0.012109,0.010025,0.06467
"162",1,12603.00,0.02555,0.012151,0.010062,0.06490
"163",1,12607.00,0.02565,0.012193,0.010100,0.06512
"164",1,12611.00,0.02574,0.012235,0.010137,0.06535
"165",1,12611.00,0.02583,0.012277,0.010174,0.06557
"166",1,12623.00,0.02592,0.012319,0.010212,0.06579
"167",1,12625.00,0.02601,0.012360,0.010249,0.06602
"168",1,12627.00,0.02610,0.012402,0.010286,0.06624
"169",1,12632.00,0.02619,0.012443,0.010323,0.06646
